,x,y
0,0,4141.854304635762
1,1,3478.466006996163
2,2,21185.0
3,3,28348.616071428572
4,4,51447.80952380953
5,5,3649.3964016250725
6,6,60522.857142857145
7,7,1608.637356874399
8,8,57774.95238095238
9,9,82563.24324324324
10,10,21903.079847908746
11,11,69699.88235294117
12,12,92770.86538461539
13,13,116489.23076923077
14,14,22207.035330261137
15,15,15538.42605156038
16,16,107498.86075949368
17,17,131434.42857142858
18,18,156547.4
19,19,151993.82352941178
20,20,57815.060975609755
21,21,78452.4
22,22,191793.41463414635
23,23,103865.29411764706
24,24,98432.53012048193
25,25,112659.6551724138
26,26,213846.11111111112
27,27,167819.31818181818
28,28,37852.17371937639
29,29,118260.19607843137
30,30,21621.553420011307
31,31,370252.18870843
32,32,47194.39024390244
33,33,58965.1724137931
34,34,107766.66666666667
35,35,24290.0
36,36,76163.21428571429
37,37,65980.0
38,38,139791.17647058822
39,39,23268.0
40,40,38379.69072164949
41,41,35882.857142857145
42,42,7162.34375
43,43,21811.11111111111
44,44,150997.5
45,45,20671.29120879121
46,46,42511.666666666664
47,47,18624.0
48,48,25325.0
49,49,20082.8
50,50,20069.565217391304
51,51,69511.42857142857
52,52,18941.428571428572
53,53,28858.333333333332
54,54,25664.70588235294
55,55,29099.444444444445
56,56,16321.827411167513
57,57,21382.222222222223
58,58,25500.0
59,59,26000.0
60,60,23119.652925343533
61,61,21022.0
62,62,22758.571428571428
63,63,16507.425742574258
64,64,25461.53846153846
65,65,16159.444444444445
66,66,25688.88888888889
67,67,129820.0
68,68,26400.0
69,69,31914.285714285714
70,70,29476.03896103896
71,71,28263.75
72,72,29411.428571428572
73,73,24585.714285714286
74,74,20530.0
75,75,25081.25
76,76,33122.22222222222
77,77,22750.0
78,78,28015.0
79,79,34400.0
80,80,29362.5
81,81,35200.0
82,82,27616.25
83,83,32882.5
84,84,28165.040650406503
85,85,32287.5
86,86,33636.666666666664
87,87,37700.0
88,88,30812.0
89,89,233010.0
90,90,33923.64217252396
91,91,20950.0
92,92,22111.11111111111
93,93,35175.0
94,94,40700.0
95,95,25687.5
96,96,41500.0
97,97,72266.66666666667
98,98,21027.272727272728
99,99,0.0
100,100,39264.89361702128
101,105,45300.0
102,106,0.0
103,108,10410.0
104,110,35550.0
105,112,48200.0
106,113,116766.66666666667
107,114,44975.0
108,120,50625.78947368421
109,125,33085.0
110,126,54100.0
111,149,400430.0
112,150,64275.0
113,160,116700.0
114,180,50514.28571428572
115,185,116900.0
116,360,3000.0
